BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
15-172690,False,False,False,False,True,False,
15-172691,False,False,False,False,True,False,
15-172693,False,False,True,False,False,False,
15-172696,False,False,False,False,True,False,
15-172699,False,False,True,False,False,False,
15-140370,False,False,True,False,False,False,
15-172701,False,False,False,False,True,False,
15-172704,False,False,True,False,False,False,
15-172710,False,False,False,False,True,False,
15-172714,False,False,True,False,False,False,
15-172715,False,False,False,False,True,False,
15-172718,False,False,True,False,False,False,
15-172721,False,False,False,False,False,False,
15-172722,False,False,True,False,False,False,
15-172730,False,False,False,False,True,False,
15-172739,False,False,True,False,False,False,
15-172744,False,False,False,False,False,False,
15-172749,False,False,True,False,False,False,
15-172755,False,False,False,False,False,False,
15-172760,False,False,False,False,True,False,
15-172764,False,False,False,True,False,False,
15-172770,False,False,False,False,True,False,
15-172771,False,False,True,False,False,False,
15-172772,False,False,False,False,True,False,
15-172774,False,False,True,False,False,False,
15-172775,False,False,True,False,False,False,
15-172776,False,False,False,False,False,False,Assemblée parlementaire
15-172778,False,False,True,False,False,False,
15-172779,False,False,True,False,False,False,
15-172783,False,False,True,False,False,False,
15-172785,False,False,True,False,False,False,
15-172789,False,False,False,False,True,False,
15-172792,False,False,False,False,False,False,Etablissement Public de santé
15-172802,False,False,True,False,False,False,
15-172804,False,False,False,False,False,False,
15-172808,False,False,False,False,True,False,
15-172812,False,False,True,False,False,False,
15-172814,False,False,True,False,False,False,
15-172815,False,False,True,False,False,False,
15-172818,False,False,False,False,False,False,
15-172820,False,False,False,False,True,False,
15-172822,False,False,True,False,False,False,
15-172826,False,False,True,False,False,False,
15-172829,False,False,False,False,False,False,
15-172833,True,False,False,False,False,False,
15-172835,False,False,False,False,True,False,
15-172840,False,False,False,False,True,False,
15-172846,False,False,True,False,False,False,
15-172851,False,False,False,False,False,False,Groupement d'Intérêt Public
15-172852,False,False,True,False,False,False,
15-172853,False,False,False,False,False,False,
15-172855,False,False,False,False,True,False,
15-172873,False,False,True,False,False,False,
15-172877,False,False,False,False,True,False,
15-172881,False,False,False,False,False,False,Office Public de l'Habitat
15-172885,False,False,True,False,False,False,
15-172886,False,False,True,False,False,False,
15-172897,False,False,True,False,False,False,
15-172898,False,False,True,False,False,False,
15-172899,False,False,True,False,False,False,
15-172902,False,False,True,False,False,False,
15-172904,False,False,False,False,False,False,
15-172906,False,False,False,False,False,False,EPCI
15-172911,False,False,True,False,False,False,
15-172912,False,False,True,False,False,False,
15-172914,True,False,False,False,False,False,
15-155050,False,False,False,False,True,False,
15-172919,False,False,False,False,False,False,Société d'économie mixte
15-153664,False,False,True,False,False,False,
15-172924,False,False,True,False,False,False,
15-172925,False,False,False,False,True,False,
15-172932,True,False,False,False,False,False,
15-172938,False,False,True,False,False,False,
15-172944,False,False,False,False,True,False,
15-172948,False,False,True,False,False,False,
15-172951,False,False,True,False,False,False,
15-172956,False,False,False,False,True,False,
15-172957,False,False,False,False,False,False,
15-172958,False,False,False,False,False,False,établissement public industriel et commercial
15-172959,True,False,False,False,False,False,
15-172961,False,False,False,False,False,False,
15-172965,False,False,True,False,False,False,
15-172971,False,False,False,False,True,False,
15-172972,False,False,False,False,True,False,
15-172987,False,False,False,False,True,False,
15-172989,False,False,True,False,False,False,
15-172990,False,False,True,False,False,False,
15-172992,False,False,False,True,False,False,
15-173002,False,False,False,False,False,False,
15-173004,False,False,False,False,False,False,
15-173005,False,False,True,False,False,False,
15-173013,False,False,False,False,False,False,
15-173014,False,False,True,False,False,False,
15-173020,False,False,True,False,False,False,
15-173021,False,False,True,False,False,False,
15-173029,False,False,False,False,False,False,EPCI
15-173035,False,False,False,False,True,False,
15-173039,False,False,True,False,False,False,
15-173040,False,False,False,False,False,False,
15-173041,False,False,False,False,True,False,
15-173050,False,False,True,False,False,False,
15-173052,True,False,False,False,False,False,
15-173055,False,False,False,False,True,False,
15-173057,False,False,True,False,False,False,
15-173059,False,False,False,False,False,False,
15-173062,False,False,True,False,False,False,
15-173066,False,False,True,False,False,False,
15-173067,False,False,True,False,False,False,
15-140036,True,False,False,False,False,False,
15-154124,False,False,False,False,True,False,
15-173076,False,False,True,False,False,False,
15-113336,False,False,False,False,False,False,Etablissement public de santé
15-173079,True,False,False,False,False,False,
15-173084,False,False,True,False,False,False,
15-173086,False,False,False,False,False,False,ville
15-173088,False,False,False,False,False,False,
15-173095,False,False,True,False,False,False,
15-173100,False,False,False,False,True,False,
15-139050,False,False,False,False,True,False,
15-173107,False,False,True,False,False,False,
15-173125,False,False,True,False,False,False,
15-173128,False,False,False,False,False,False,
15-173129,False,False,False,False,False,False,
15-173130,False,False,False,False,True,False,
15-173135,True,False,False,False,False,False,
15-173136,False,False,False,False,False,False,
15-173145,False,False,True,False,False,False,
15-173148,False,False,True,False,False,False,
15-173163,False,False,True,False,False,False,
15-140034,False,False,False,False,False,False,Etablissement public autonome
15-173174,False,False,False,False,False,False,
15-173175,False,False,False,False,True,False,
15-173178,False,False,False,True,False,False,
15-173182,False,False,True,False,False,False,
15-173183,False,False,True,False,False,False,
15-173185,False,False,False,False,False,False,collectivité
15-173194,False,False,True,False,False,False,
15-173201,False,False,True,False,False,False,
15-173203,False,False,True,False,False,False,
15-173207,True,False,False,False,False,False,
15-173209,False,False,True,False,False,False,
15-173221,False,False,True,False,False,False,
15-173222,False,False,True,False,False,False,
15-173224,False,False,False,False,False,False,Collectivité Territoriale
15-173227,False,False,True,False,False,False,
15-173228,False,False,False,False,False,False,
15-173229,False,False,True,False,False,False,
15-173233,False,False,True,False,False,False,
15-173235,False,False,True,False,False,False,
15-173240,False,False,False,False,False,False,
15-173242,False,False,True,False,False,False,
15-173246,False,False,True,False,False,False,
15-173249,False,False,True,False,False,False,
15-173255,False,False,False,False,True,False,
15-173257,False,False,False,False,True,False,
15-173263,False,False,True,False,False,False,
15-173274,False,False,False,False,True,False,
15-173283,False,False,True,False,False,False,
15-173286,False,False,False,False,False,False,EPS
15-173288,False,False,False,False,False,False,
15-173289,False,False,True,False,False,False,
15-173294,False,False,True,False,False,False,
15-173297,False,False,False,False,False,False,
15-173298,False,False,False,False,True,False,
15-173299,False,False,False,False,True,False,
15-173303,False,False,False,False,True,False,
15-173304,False,False,False,False,True,False,
15-173307,False,False,False,False,True,False,
15-173308,False,False,False,False,True,False,
15-173316,False,False,False,False,True,False,
15-173318,False,False,True,False,False,False,
15-173323,False,False,False,False,False,False,
15-173325,False,False,True,False,False,False,
15-173326,True,False,False,False,False,False,
15-173328,False,False,False,False,True,False,
15-173330,False,False,False,False,False,False,
15-173343,False,False,False,False,False,False,EPLE - Lycée
15-173344,False,False,True,False,False,False,
15-173347,False,False,True,False,False,False,
15-173353,False,False,True,False,False,False,
15-173358,False,False,False,False,False,False,autre
15-173370,False,False,True,False,False,False,
15-173372,False,False,True,False,False,False,
15-173378,True,False,False,False,False,False,
15-173384,False,False,False,False,True,False,
15-173394,False,False,True,False,False,False,
15-173397,False,False,True,False,False,False,
15-173403,False,False,False,False,False,False,
15-173406,False,False,False,False,False,False,Assemblée parlementaire
15-173409,False,False,True,False,False,False,
15-173415,False,False,False,False,True,False,
15-173418,False,False,False,False,False,False,
15-173419,False,False,False,False,False,False,Établissement Public de Santé (EPS)
15-173420,False,False,False,False,False,False,établissement public de coopération intercommunal
15-173434,False,False,True,False,False,False,
15-173435,True,False,False,False,False,False,
15-173436,False,False,True,False,False,False,
15-173437,False,False,True,False,False,False,
15-173440,False,False,True,False,False,False,
15-173443,False,False,True,False,False,False,
15-173447,False,False,True,False,False,False,
15-173450,False,False,False,False,False,False,office public de l'habitat
15-173451,False,False,True,False,False,False,
15-173456,False,False,False,False,True,False,
15-173457,False,False,False,False,True,False,
15-173463,False,False,True,False,False,False,
15-173464,False,False,False,False,False,False,EPCI
15-173480,False,False,True,False,False,False,
15-173484,False,False,False,False,True,False,
15-173494,False,False,False,False,False,False,
15-173504,False,False,False,False,False,False,EPS
15-173506,False,False,True,False,False,False,
15-173512,False,False,True,False,False,False,
15-173513,True,False,False,False,False,False,
15-173514,False,False,False,False,True,False,
15-173515,False,False,True,False,False,False,
15-173516,False,False,True,False,False,False,
15-173517,False,False,True,False,False,False,
15-173526,False,False,False,False,True,False,
15-173527,False,False,False,False,False,False,
15-173528,False,False,True,False,False,False,
15-173537,False,False,False,False,False,False,
15-173541,False,False,False,False,False,False,SA d'HLM
15-173542,False,False,False,False,False,False,EPCI
15-173555,False,False,False,False,False,False,
15-173556,False,False,False,False,False,False,
15-173561,False,False,False,False,True,False,
15-173568,False,False,False,False,True,False,
15-173578,False,False,False,False,True,False,
15-173582,False,False,True,False,False,False,
15-173589,True,False,False,False,False,False,
15-173591,False,False,False,False,True,False,
15-173595,False,False,False,False,True,False,
15-173603,False,False,False,False,True,False,
15-173619,False,False,True,False,False,False,
15-173620,False,False,True,False,False,False,
15-173625,False,False,True,False,False,False,
15-173628,False,False,False,False,False,False,
15-173634,False,False,False,False,False,False,
15-173635,False,False,False,False,False,False,
15-173637,False,False,True,False,False,False,
15-173641,False,False,True,False,False,False,
15-173643,False,False,False,False,True,False,
15-173646,False,False,False,False,False,False,
15-173649,False,False,True,False,False,False,
15-173664,False,False,False,False,False,False,autre
15-173672,False,False,False,False,True,False,
15-155242,False,False,False,False,True,False,
15-173685,False,False,True,False,False,False,
15-173688,False,False,False,False,True,False,
15-173695,False,False,False,False,False,True,
15-173696,False,False,False,False,True,False,
15-173701,False,False,False,False,False,False,
15-173703,False,False,False,False,True,False,
15-173712,False,False,True,False,False,False,
15-155948,False,False,True,False,False,False,
15-173720,True,False,False,False,False,False,
15-173726,False,False,False,False,True,False,
15-173727,False,False,False,False,True,False,
15-173728,False,False,True,False,False,False,
15-173738,False,False,True,False,False,False,
15-173745,False,False,True,False,False,False,
15-173746,False,False,True,False,False,False,
15-173750,False,False,True,False,False,False,
15-173751,False,False,True,False,False,False,
15-155997,False,True,False,False,False,False,
15-173758,False,False,False,True,False,False,
15-173760,False,False,False,False,True,False,
15-173763,True,False,False,False,False,False,
15-173764,False,False,True,False,False,False,
15-173766,False,False,False,False,False,False,Régie Personnalisée d'exploitation 
15-173767,False,False,False,False,True,False,
15-173777,False,False,False,False,True,False,
15-173782,False,False,False,False,False,False,
15-173785,False,False,False,False,False,False,Syndicat mixte
15-173789,False,False,False,False,False,False,
15-173796,False,False,True,False,False,False,
15-173803,False,False,False,False,False,False,
15-173806,False,False,True,False,False,False,
15-173808,False,False,False,False,False,False,EPCI
15-173810,True,False,False,False,False,False,
15-173814,False,False,False,False,False,False,SOCIETE D'ECONOMIE MIXTE INTERCOMMUNALE POUR L'AMELIORATION DE LA CIRCULATION ET DU STATIONNEMENT
15-173818,False,False,False,False,False,False,
15-173822,False,False,False,False,True,False,
15-173823,False,False,False,False,False,False,EPLE
15-173835,False,False,True,False,False,False,
15-173837,False,False,False,False,False,False,
15-173838,False,False,True,False,False,False,
15-173839,False,False,True,False,False,False,
15-173841,False,False,True,False,False,False,
15-140112,False,False,True,False,False,False,
15-173845,False,False,True,False,False,False,
15-173850,False,False,False,False,True,False,
15-140459,False,False,False,False,False,False,
15-173875,False,False,False,False,False,False,
15-173877,False,False,True,False,False,False,
19-131221,False,False,True,False,False,False,
15-173880,False,False,True,False,False,False,
15-173881,False,False,True,False,False,False,
15-173883,True,False,False,False,False,False,
15-173887,False,False,True,False,False,False,
15-173890,False,False,True,False,False,False,
15-141040,False,False,False,False,True,False,
15-173896,False,False,True,False,False,False,
15-173897,False,False,False,False,False,False,Société titulaire d'une concession d'aménagement
15-173914,False,False,True,False,False,False,
15-173916,False,False,True,False,False,False,
15-173917,False,False,True,False,False,False,
15-173923,False,False,False,False,True,False,
15-173926,False,False,True,False,False,False,
15-173935,False,False,False,False,True,False,
15-173949,False,False,False,True,False,False,
15-173953,False,False,True,False,False,False,
15-173954,True,False,False,False,False,False,
15-173955,False,False,False,False,False,False,
15-173956,False,False,True,False,False,False,
15-173957,False,False,True,False,False,False,
15-173959,False,False,False,False,False,False,
15-173960,False,False,True,False,False,False,
15-173964,False,False,True,False,False,False,
15-173971,False,False,True,False,False,False,
15-140302,False,False,True,False,False,False,
15-173986,True,False,False,False,False,False,
15-173989,False,False,True,False,False,False,
15-173990,False,False,False,False,False,False,
15-173991,False,False,False,False,True,False,
15-173996,False,False,True,False,False,False,
15-173997,False,False,False,False,False,False,
15-173999,False,False,True,False,False,False,
15-174000,False,False,False,False,False,False,
15-174002,False,False,True,False,False,False,
15-174003,False,False,False,False,False,False,
15-174004,False,False,False,False,False,False,autre
15-174005,False,False,True,False,False,False,
15-174009,False,False,False,False,True,False,
15-174017,False,False,False,False,True,False,
15-174023,False,False,True,False,False,False,
15-174028,False,False,False,False,True,False,
15-174029,False,False,False,False,False,False,
15-174039,False,False,False,False,False,False,
15-174043,False,False,False,False,False,False,
15-174044,False,False,False,False,True,False,
15-174045,False,False,True,False,False,False,
15-174047,False,False,True,False,False,False,
15-174048,False,False,False,False,True,False,
15-174053,False,False,True,False,False,False,
15-174057,False,False,True,False,False,False,
15-174058,False,False,True,False,False,False,
15-174062,False,False,True,False,False,False,
15-174064,False,False,False,False,True,False,
15-174065,False,False,False,False,True,False,
15-174066,False,False,False,False,True,False,
15-174070,False,False,False,False,False,False,
15-174072,False,False,False,False,True,False,
15-174074,False,False,True,False,False,False,
15-174075,False,False,True,False,False,False,
15-174082,True,False,False,False,False,False,
15-174088,True,False,False,False,False,False,
15-174089,False,False,False,False,False,False,
15-141183,False,False,False,False,False,False,chambre de métiers
15-174093,False,False,False,False,True,False,
15-174099,False,False,False,False,True,False,
15-174100,False,False,False,False,False,False,
15-174102,True,False,False,False,False,False,
15-174104,True,False,False,False,False,False,
15-174109,False,False,True,False,False,False,
15-174116,False,False,False,False,True,False,
15-174117,False,False,False,False,True,False,
15-174119,True,False,False,False,False,False,
15-174120,False,False,False,True,False,False,
15-174124,False,False,True,False,False,False,
15-174125,False,False,True,False,False,False,
15-174126,False,False,False,False,True,False,
15-174130,False,False,False,False,False,False,Aides à l'étudiant
15-174131,False,False,True,False,False,False,
15-174135,False,False,True,False,False,False,
15-174136,False,False,False,True,False,False,
15-174139,False,False,False,False,False,False,
15-174143,False,False,False,False,True,False,
15-174144,False,False,True,False,False,False,
15-174145,False,False,False,False,False,False,Protection sociale
15-174148,False,False,True,False,False,False,
15-174152,False,False,False,False,False,False,
15-174166,False,False,False,True,False,False,
15-174167,False,False,True,False,False,False,
15-174171,False,False,False,False,True,False,
15-174182,False,False,False,False,True,False,
15-140100,False,False,False,False,False,False,
15-174190,False,False,False,False,False,False,
15-174193,False,False,True,False,False,False,
15-174196,False,False,False,False,False,False,
15-174202,False,False,False,True,False,False,
15-174203,False,False,True,False,False,False,
15-174204,False,False,False,False,False,False,SEM
15-174207,False,False,False,False,False,False,
15-174208,False,False,True,False,False,False,
19-131635,False,False,True,False,False,False,
15-174213,False,False,True,False,False,False,
15-174216,False,True,False,False,False,False,
15-174221,False,False,True,False,False,False,
15-174223,False,False,True,False,False,False,
15-174224,False,False,True,False,False,False,
15-174225,False,False,True,False,False,False,
15-174228,False,False,False,False,True,False,
15-174229,True,False,False,False,False,False,
15-174231,False,False,False,False,False,False,Etablissement public de santé
15-174234,False,False,False,False,False,False,
15-174235,False,False,False,False,True,False,
15-174236,False,False,False,False,False,False,
15-174237,True,False,False,False,False,False,
15-174241,False,False,True,False,False,False,
15-174245,True,False,False,False,False,False,
15-174246,False,False,False,False,False,False,
15-174248,False,False,False,False,False,False,
15-174249,False,False,False,False,False,False,autre
15-174252,False,False,True,False,False,False,
15-174258,False,False,True,False,False,False,
15-174263,True,False,False,False,False,False,
15-174265,False,False,True,False,False,False,
15-174266,False,False,False,False,True,False,
15-174267,False,False,False,False,True,False,
15-174272,False,False,False,False,True,False,
15-174276,False,False,False,False,False,False,
15-174283,False,False,False,False,False,False,
15-174286,False,False,True,False,False,False,
15-174294,False,False,False,False,True,False,
15-174297,False,False,False,False,False,False,
15-174299,False,False,True,False,False,False,
15-174300,False,False,True,False,False,False,
15-174309,False,False,True,False,False,False,
15-174311,False,False,True,False,False,False,
15-174312,False,False,True,False,False,False,
15-174313,False,False,True,False,False,False,
15-174314,False,False,True,False,False,False,
15-174315,False,False,True,False,False,False,
15-174318,False,False,True,False,False,False,
15-174319,False,False,True,False,False,False,
15-174323,False,False,True,False,False,False,
15-174327,False,False,True,False,False,False,
15-174328,False,False,False,False,False,False,
15-174330,False,False,False,False,True,False,
15-174331,False,False,False,False,True,False,
15-174337,False,False,True,False,False,False,
15-174341,False,False,False,False,False,False,
15-174344,False,False,False,False,False,False,
15-174350,False,False,True,False,False,False,
15-174352,False,False,True,False,False,False,
15-174357,False,False,False,False,True,False,
15-174359,False,False,True,False,False,False,
15-174361,False,False,False,False,False,False,
15-174362,False,False,False,False,False,False,
15-174368,False,False,True,False,False,False,
15-174371,False,False,False,False,False,False,
15-174384,False,False,True,False,False,False,
15-174385,False,False,True,False,False,False,
15-174387,False,False,False,False,False,False,
15-174389,False,False,False,False,False,False,
19-131466,False,False,True,False,False,False,
15-174393,False,False,False,False,True,False,
15-174396,False,False,True,False,False,False,
15-174397,False,False,True,False,False,False,
15-174401,False,False,False,False,True,False,
15-174406,False,False,False,False,True,False,
15-174419,False,False,False,False,True,False,
15-174420,True,False,False,False,False,False,
15-174422,False,False,True,False,False,False,
15-174427,False,False,True,False,False,False,
15-174431,False,False,False,False,True,False,
15-174433,False,False,True,False,False,False,
15-140789,False,False,True,False,False,False,
15-174438,False,False,True,False,False,False,
15-174448,False,False,False,False,True,False,
15-174451,False,False,False,False,True,False,
15-174452,False,False,False,False,True,False,
15-174455,False,False,False,False,False,False,
15-174460,False,False,False,False,False,False,
15-174469,True,False,False,False,False,False,
15-174470,True,False,False,False,False,False,
15-174473,False,False,False,False,False,False,Collectivité territoriale
15-174482,False,False,False,False,False,False,
15-174484,False,False,True,False,False,False,
15-174486,False,False,True,False,False,False,
15-174493,False,False,True,False,False,False,
15-174494,False,False,True,False,False,False,
15-174495,False,False,True,False,False,False,
15-174496,False,False,True,False,False,False,
15-174500,True,False,False,False,False,False,
15-174509,False,False,False,False,False,False,santé
15-174516,True,False,False,False,False,False,
15-174518,False,False,True,False,False,False,
15-174519,False,False,False,False,True,False,
15-174522,False,False,True,False,False,False,
15-174526,False,False,True,False,False,False,
15-174527,False,False,True,False,False,False,
15-174530,False,False,False,True,False,False,
15-174539,False,False,True,False,False,False,
15-174542,False,False,True,False,False,False,
15-174545,True,False,False,False,False,False,
15-174547,False,False,False,False,False,False,
15-174548,True,False,False,False,False,False,
15-174549,False,False,False,False,False,False,
15-174550,False,False,True,False,False,False,
15-174551,False,False,False,False,False,False,
19-131336,False,False,False,False,True,False,
15-174553,False,False,True,False,False,False,
15-174559,True,False,False,False,False,False,
15-174560,False,False,False,False,False,False,
15-174571,False,False,False,False,True,False,
15-174581,False,False,False,False,True,False,
15-174582,False,False,True,False,False,False,
15-174583,False,False,True,False,False,False,
15-140450,False,False,True,False,False,False,
15-174586,False,False,True,False,False,False,
15-174590,False,False,True,False,False,False,
15-174591,False,False,True,False,False,False,
15-174598,False,False,True,False,False,False,
15-174603,False,False,False,False,False,False,
15-174607,False,False,False,False,True,False,
15-174608,True,False,False,False,False,False,
15-174615,False,False,True,False,False,False,
15-174618,False,False,False,False,False,False,
15-174619,True,False,False,False,False,False,
15-174625,False,False,True,False,False,False,
15-174628,False,False,False,False,True,False,
15-174629,False,False,False,False,True,False,
15-174638,False,False,False,False,False,False,SA HLM
15-174650,False,False,False,False,False,False,Etablissement de coopération intercommunale
15-174654,False,False,True,False,False,False,
15-174655,False,False,False,False,True,False,
15-174656,False,False,False,False,True,False,
15-174657,False,False,True,False,False,False,
15-174658,True,False,False,False,False,False,
15-174669,False,False,True,False,False,False,
15-174674,False,False,True,False,False,False,
15-174676,False,False,True,False,False,False,
15-174677,False,False,False,False,True,False,
15-174678,False,False,True,False,False,False,
15-174683,False,False,False,False,False,False,Etablissement public territorial - Etablissement Public de Coopération Intercommunale.
15-174692,False,False,False,False,True,False,
15-174694,False,False,True,False,False,False,
15-141813,True,False,False,False,False,False,
15-174702,False,False,False,False,False,False,
15-174705,False,False,False,False,False,False,assurance maladie
15-174707,False,False,True,False,False,False,
15-174708,False,False,False,False,True,False,
15-174712,False,True,False,False,False,False,
15-174713,False,False,True,False,False,False,
15-174718,False,False,False,False,False,False,
15-174721,False,False,True,False,False,False,
15-174727,False,False,True,False,False,False,
15-174730,False,False,False,True,False,False,
15-174741,False,False,False,False,False,False,
15-174744,False,False,False,False,False,False,
15-174745,False,False,True,False,False,False,
15-174749,False,False,False,False,True,False,
15-174754,False,False,False,False,False,False,santé
15-174758,False,False,False,False,False,False,
15-174770,True,False,False,False,False,False,
15-174775,False,False,False,False,False,False,
15-174776,True,False,False,False,False,False,
15-174777,False,False,False,False,True,False,
15-174782,True,False,False,False,False,False,
15-174788,False,False,False,False,True,False,
15-174789,False,False,False,False,True,False,
15-174799,False,False,False,False,True,False,
15-174801,True,False,False,False,False,False,
15-174802,False,False,False,False,True,False,
15-174805,False,False,True,False,False,False,
15-174806,False,False,True,False,False,False,
15-141084,False,False,False,False,True,False,
15-174811,False,False,False,False,False,False,
15-174819,False,False,True,False,False,False,
15-174822,False,False,False,False,False,False,
15-174823,False,False,True,False,False,False,
15-174825,False,False,False,False,False,False,
15-174829,False,False,True,False,False,False,
15-174832,False,False,True,False,False,False,
15-174834,False,False,False,False,True,False,
15-174838,False,False,False,False,False,False,
15-174841,False,False,True,False,False,False,
15-174842,False,False,False,False,True,False,
15-174844,False,False,True,False,False,False,
15-174852,False,False,False,False,True,False,
15-174860,False,False,False,False,True,False,
15-174863,False,False,True,False,False,False,
15-174864,True,False,False,False,False,False,
15-174866,True,False,False,False,False,False,
15-174868,False,False,False,False,True,False,
15-174869,False,False,False,False,True,False,
15-174871,False,False,True,False,False,False,
15-174873,False,False,True,False,False,False,
15-174877,False,False,True,False,False,False,
15-174879,False,False,True,False,False,False,
15-174880,False,False,True,False,False,False,
15-174881,False,False,True,False,False,False,
15-174882,False,False,True,False,False,False,
15-174885,False,False,False,False,False,False,
15-174892,False,False,True,False,False,False,
15-174895,False,False,True,False,False,False,
15-174897,False,False,False,False,False,False,
15-174902,True,False,False,False,False,False,
15-174903,False,False,False,False,True,False,
15-174908,False,False,True,False,False,False,
15-174909,True,False,False,False,False,False,
15-174911,False,False,False,False,False,False,
15-174920,False,False,True,False,False,False,
15-174921,False,False,True,False,False,False,
15-174923,False,False,True,False,False,False,
15-174926,False,False,False,False,True,False,
15-174930,False,False,False,False,True,False,
15-174938,False,False,True,False,False,False,
15-174939,False,False,False,False,True,False,
15-174941,False,False,True,False,False,False,
15-174943,True,False,False,False,False,False,
15-174950,False,False,True,False,False,False,
15-174954,False,False,True,False,False,False,
15-156365,False,False,False,False,False,False,
15-174967,True,False,False,False,False,False,
15-142881,False,False,False,False,True,False,
15-174975,True,False,False,False,False,False,
15-154058,False,False,True,False,False,False,
15-174980,False,False,False,False,True,False,
15-174982,False,False,False,False,True,False,
15-174984,False,False,True,False,False,False,
15-174986,False,False,False,False,True,False,
15-174988,False,False,True,False,False,False,
15-174990,True,False,False,False,False,False,
15-174992,False,False,False,False,False,False,Assemblée parlementaire
15-174998,False,False,False,False,True,False,
15-175001,False,False,True,False,False,False,
15-175004,False,False,True,False,False,False,
15-175014,False,False,True,False,False,False,
15-175015,False,False,False,False,False,False,Groupement de commandes publiques : Département de la Lozère / S.D.I.S. 48
15-175016,False,False,False,False,False,False,
15-158094,False,False,False,False,False,False,Etablissement public de santé
15-175018,False,False,False,False,False,False,
15-175026,False,False,True,False,False,False,
15-175028,False,False,True,False,False,False,
15-175032,False,False,True,False,False,False,
15-175035,False,False,False,False,False,False,
15-142597,True,False,False,False,False,False,
15-175043,False,False,False,False,True,False,
15-142420,False,False,True,False,False,False,
15-175062,False,False,True,False,False,False,
15-175064,False,False,True,False,False,False,
15-142735,False,False,False,False,True,False,
15-175071,False,False,False,False,True,False,
15-175075,True,False,False,False,False,False,
15-175079,False,False,False,False,True,False,
15-175085,False,False,True,False,False,False,
15-175092,False,False,False,False,False,False,
15-175097,False,False,False,False,False,False,
15-175099,True,False,False,False,False,False,
15-142045,False,False,False,False,True,False,
15-175109,False,False,True,False,False,False,
15-175110,False,False,True,False,False,False,
15-142876,False,False,True,False,False,False,
15-175117,False,False,True,False,False,False,
15-175119,False,False,True,False,False,False,
15-175125,False,False,True,False,False,False,
15-175126,True,False,False,False,False,False,
15-175129,False,False,True,False,False,False,
15-156547,False,False,True,False,False,False,
15-175132,False,False,True,False,False,False,
15-175135,False,False,True,False,False,False,
15-175140,False,False,False,False,True,False,
15-175144,False,False,False,False,True,False,
15-175145,False,False,True,False,False,False,
15-175147,False,False,True,False,False,False,
15-175150,False,False,True,False,False,False,
15-175153,False,False,True,False,False,False,
15-175159,False,False,False,False,True,False,
15-175161,False,False,True,False,False,False,
15-175162,False,False,False,False,False,False,
15-175163,False,False,False,True,False,False,
15-175169,False,False,True,False,False,False,
15-175170,False,False,True,False,False,False,
15-175175,False,False,True,False,False,False,
15-175183,False,False,True,False,False,False,
15-175193,False,False,True,False,False,False,
15-175194,False,False,True,False,False,False,
15-175196,False,False,True,False,False,False,
15-175197,False,False,False,False,True,False,
15-175205,True,False,False,False,False,False,
15-175207,False,False,True,False,False,False,
15-175209,False,False,True,False,False,False,
15-175210,False,False,False,False,True,False,
15-175216,False,False,False,False,True,False,
